namespace,pod,container,timestamp,cpu-average,mem-average
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731797100000,0.0003080203146608,0.10465625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731797160000,0.0001329163853023,0.10465625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731797220000,0.0004106148809654,0.10465625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731797280000,0.0,0.10465625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731797340000,0.0003247241537538,0.10465625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731797400000,0.0001770828547992,0.10465625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731797460000,0.0003828682163688,0.10465625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731797520000,0.0001333929353381,0.10465625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731797580000,0.0005524701932039,0.10465625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731797640000,0.0002353560877584,0.10465625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731797700000,0.0,0.10465625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731797760000,8.63001287541473e-06,0.10465625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731797820000,0.0001959188718007,0.104703125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731797880000,0.0,0.10471875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731797940000,0.0001338477265011,0.10471875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731798000000,0.0006518884837854,0.10471875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731798060000,0.0002770597824543,0.10471875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731798120000,0.0005100646806642,0.10471875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731798180000,5.592794555513833e-05,0.10471875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731798240000,0.0,0.10471875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731798300000,0.0001465646551729,0.10471875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731798360000,0.0005838738772926,0.104453125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731798420000,0.0001611984966991,0.10446484375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731798480000,0.0,0.1025572916666666
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731798540000,7.806833522307488e-05,0.102078125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731798600000,0.0004048541666659,0.0979114583333333
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731798660000,6.751336633168372e-06,0.097921875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731798720000,0.0,0.097921875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731798780000,0.0,0.09692578125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731798840000,0.0001579144062151,0.09659375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731798900000,0.0003357282913168,0.09659375
