namespace,pod,container,timestamp,cpu-average
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986580000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986640000,0.00044492365936602793
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986700000,0.00021330142289148444
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986760000,0.0006067374271660071
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986820000,0.00010600114305581224
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986880000,0.0004904992095150674
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986940000,6.469360536993044e-05
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987000000,0.00023448910009867945
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987060000,0.00011217973029626549
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987120000,0.00038550519609735284
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987180000,0.0002692908863914506
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987240000,0.00046566245219371974
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987300000,0.00017982182225093705
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987360000,0.00039267913969524766
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987420000,0.0001477800868078646
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987480000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987540000,0.00019822347379014742
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987600000,0.0005284808565699977
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987660000,0.0001308186503655997
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987720000,0.0005218518632586099
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987780000,0.00028565657377357267
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987840000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987900000,0.00018049223502176546
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987960000,0.0005197611802631428
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988020000,0.00016339259758758588
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988080000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988140000,0.0001917021610437434
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988200000,0.00026775910294147984
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988260000,0.00013958294144763021
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988320000,0.000723800051169993
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988380000,0.00014973641248615323
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988440000,0.0006060037786580309
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988500000,0.00010731140465120618
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988560000,0.0004090141225506156
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988620000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988680000,0.0003354319495235609
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988740000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988800000,0.0003737817104450489
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988860000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988920000,0.00040343039833477026
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988980000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989040000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989100000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989160000,0.00042552761687837025
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989220000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989280000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989340000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989400000,0
