namespace,pod,container,timestamp,mem-average
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988260000,0.141578125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988320000,0.141609375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988380000,0.141625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988440000,0.14166666666666666
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988500000,0.1416875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988560000,0.14170833333333335
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988620000,0.14171875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988680000,0.14130859375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988740000,0.141171875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988800000,0.141171875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988860000,0.12940625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988920000,0.12941015625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988980000,0.129421875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989040000,0.12940625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989100000,0.1294375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989160000,0.12938671875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989220000,0.129234375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989280000,0.114984375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989340000,0.114984375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989400000,0.1130390625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989460000,0.11109375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989520000,0.111109375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989580000,0.111109375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989640000,0.111109375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989700000,0.111109375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989760000,0.111109375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989820000,0.111109375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989880000,0.111109375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989940000,0.111109375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990000000,0.111125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990060000,0.11111328125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990120000,0.10974479166666667
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990180000,0.10875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990240000,0.10875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990300000,0.108765625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990360000,0.108765625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990420000,0.108765625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990480000,0.108765625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990540000,0.108765625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990600000,0.10867578125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990660000,0.1085625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990720000,0.10816666666666667
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990780000,0.107875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990840000,0.1076875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990900000,0.107703125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990960000,0.1074296875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991020000,0.10711458333333333
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991080000,0.106953125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991140000,0.106953125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991200000,0.106953125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991260000,0.106953125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991320000,0.106953125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991380000,0.106953125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991440000,0.106953125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991500000,0.106953125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991560000,0.106953125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991620000,0.10696354166666668
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991680000,0.106984375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991740000,0.10687109375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991800000,0.10653125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991860000,0.104875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991920000,0.10471875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991980000,0.10471875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992040000,0.104546875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992100000,0.104546875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992160000,0.1042578125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992220000,0.1043359375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992280000,0.10441666666666666
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992340000,0.1036953125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992400000,0.10296484375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992460000,0.10005859375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992520000,0.09821875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992580000,0.09728125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992640000,0.09726041666666665
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992700000,0.09721875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992760000,0.09723958333333332
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992820000,0.09725
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992880000,0.09726041666666665
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992940000,0.0971875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731993000000,0.09704166666666666
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731993060000,0.09704166666666665
