namespace,pod,container,timestamp,cpu_usage
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519780000,0.0005041376224105714
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519840000,0.00016553808148345712
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519900000,0.0006936455607414281
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519960000,0.0002291042641328357
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520020000,0.00046534220000040707
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520080000,0.00027812880641050374
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520140000,0.0008358064911206598
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520200000,0.00024436439999959704
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520260000,0.0004494546109773232
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520320000,0.00011017692117000444
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520380000,0.0007758022947580276
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520440000,0.0002149048578253872
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520500000,0.0005159077354630797
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520560000,0.00015486881019401432
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520620000,0.0004547932551689333
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520680000,0.0001617236299236938
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520740000,0.000519455236168755
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520800000,0.00022716590000015913
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520860000,0.0004785293307405824
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520920000,0.0002081207868254652
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520980000,0.0010182716732046002
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521040000,0.00015242962058506526
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521100000,0.0006506358303996898
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521160000,0.00021824184356661623
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521220000,0.0006223647786532487
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521280000,0.0002322976821438246
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521340000,0.0004710921649214472
