namespace,pod,container,timestamp,cpu_usage
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519840000,0.0001655380814834
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519900000,0.0006936455607414
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519960000,0.0002291042641328
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520020000,0.0004653422000004
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520080000,0.0002781288064105
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520140000,0.0008358064911206
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520200000,0.0002443643999995
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520260000,0.0004494546109773
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520320000,0.00011017692117
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520380000,0.000775802294758
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520440000,0.0002149048578253
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520500000,0.000515907735463
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520560000,0.000154868810194
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520620000,0.0004547932551689
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520680000,0.0001617236299236
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520740000,0.0005194552361687
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520800000,0.0002271659000001
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520860000,0.0004785293307405
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520920000,0.0002081207868254
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731520980000,0.0010182716732046
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521040000,0.000152429620585
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521100000,0.0006506358303996
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521160000,0.0002182418435666
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521220000,0.0006223647786532
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521280000,0.0002322976821438
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521340000,0.0004710921649214
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521400000,9.474814215650488e-05
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521460000,0.0005903101090033
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521520000,0.0001318087839527
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521580000,0.0006066633216691
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521640000,0.0001690176266035
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521700000,0.0005082667972221
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521760000,0.0002091627188875
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521820000,0.0007339714126931
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521880000,0.000202366666667
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521940000,0.0002981104661712
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522000000,6.503723171577391e-06
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522060000,0.0003039755149243
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522120000,0.0002060984003291
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522180000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522240000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522300000,0.0003199526600372
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522360000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522420000,0.0003616733505288
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522480000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522540000,0.0004401753728932
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522600000,8.992761548092336e-05
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522660000,0.0003180453798894
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522720000,0.0001204809094709
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522780000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522840000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522900000,0.0002439105069604
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522960000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523020000,0.0003220092045351
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523080000,1.2660010136713996e-05
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523140000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523200000,0.0001280587215744
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523260000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523320000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523380000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523440000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523500000,0.0001747070163847
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523560000,0.0003820032210889
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523620000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523680000,0.0005200163751389
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523740000,0.0001635717500293
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523800000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523860000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523920000,0.0004075347392247
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523980000,0.0
